,Date,User,Tweet
23,2023-01-23 18:56:15+00:00,PraviUgao,"Veza MMR vakcine i autizma je naučno opovrgnuta. U Smederevu je epidemija malih boginja, obolelo je 14 ljudi, 9 dece. Vakcina MMR je posebno važna za dečake jer bolesti kao zauške dovode do steriliteta, dr Danica Grujičić, ministarka zdravlja 
https://t.co/8NYSYJzXPl"
24,2023-01-22 21:31:21+00:00,Nakostresen1,"@BabaStamena Sta vam nije jasno?Imam prijatelja  cije je dete obolelo od autizama posle mmr vakcine.Nije vam dovoljno sto ljudi imaju velike zdravstvene probleme posle fajzera za kovid?Umiru,zgrusava im se krv,otkazuju organi...Kome treba zdrav covek?Farmaciji ne treba,nema koristi."
25,2023-01-22 09:20:18+00:00,natasavb,"@SaaMilovanovi3 @chedana2 To su bili pojedinačni slučajevi dece koja nisu vakcinisana, kao što ja nisam bila, pa sam ih imala. Sada nam preti epidemija i to je ogromna razlika.
Ono što sam sigurna je da veoma često mešaju male i ovčje boginje i ne shvataju opasnost malih boginja."
26,2023-01-22 01:31:33+00:00,CecaDr,"@V_MadnessMaster Ja primila MMR  2019. Kad je izbila epidemija, vadili nam krv(zdr.radnicima) ko nema At da se imunizije, ja jedva dočekala. I evo nisam živa 🤔😅"
27,2023-01-21 12:01:02+00:00,TRTBalkanBHSC,"Početkom ove godine alarmirane su sve službe u Crnoj Gori zbog straha od epidemije malih boginja u toj balkanskoj zemlji, ponajviše zbog toga što je mali broj djece vakcinisan vakcinom koja štiti od ospica, zaušnjaka i rubeole (MMR). 

#Balkan #maleboginje #vakcine #djeca"
28,2023-01-20 19:29:10+00:00,OnlineDanas,"Đerlek: Proveravamo celu vakcinalnu kartoteku na teritoriji Srbije, od 12 obolelih od malih boginja, devet nije primilo MMR vakcinu https://t.co/S8Yl0LvGb3"
29,2023-01-19 19:33:31+00:00,Novimagazin,"Iz nedeljnika #NoviMagazin

Izbegavanje MMR vakcine: Epidemija malih boginja na pragu ---
https://t.co/olmOrNGq5d https://t.co/nkUOL5RT6V"
30,2023-01-18 22:35:28+00:00,majka1956,"U Smederevu dvanaest mališana obolelo od Morbila.
Šestoro je vakcinisano a šestoro nije.
MMR
Molim vaksere da mi objasne."
31,2023-01-18 10:51:30+00:00,OnlineDanas,"Preti epidemija morbila: Alarmantno u Novom Sadu jer je najmanje dece primilo MMR vakcinu
https://t.co/MHbjEDq3Ij"
32,2023-01-17 13:12:53+00:00,Tvzonaplus,"APEL SLD: ZAŠTITE DECU MMR VAKCINOM, SRBIJA NA PRAGU EPIDEMIJE - https://t.co/ARkMLHKncj - Srpsko lekarsko društvo apelovalo je na roditelje koji decu nisu zaštili MMR vakcinom da to bez oklevanja i što pre učine ukazujući na to da se Srbija, zbog drastičnog pada primene te va... https://t.co/WZ57mSDL5H"
33,2023-01-17 11:54:27+00:00,Beograd202,"Uspeli smo da napravimo novu epidemiju, ovog puta „starog neprijatelja“ – #MaleBoginje!
Kada je reč o obuhvatu vakcinisane dece #MMR-om u #Srbija, ona je najniža u poslednjem periodu i struka je najavljivala da nam je epidemija na pragu.
🔊 #ObratiPažnju od 13.00
🎙️ @rintaricka https://t.co/kz9HYzXe6t"
34,2023-01-17 11:00:12+00:00,Insajder_net,"Srpsko lekarsko društvo apelovalo je na roditelje koji decu nisu zaštitili MMR vakcinom da to bez oklevanja i što pre učine ukazujući na to da se Srbija nalazi na pragu epidemije morbila, mupsa i rubeole. https://t.co/2wc0SY53RK"
35,2023-01-16 15:42:29+00:00,roditeljime,"Statistika o slabim obuhvatima MMR vakcinom i pojava prvih slučajeva morbila u regionu, ukazuje na hitnu  mobilizaciju svih društvenih činilaca kako bi izbjegli teške scenarije kakve epidemija može donijeti, poruka je Nacionalne komisije za imunizaciju. 
https://t.co/YUWdn8IMUy https://t.co/ZxDut2UP9X"
36,2023-01-16 14:28:31+00:00,Tvzonaplus,"OSAMORO OBOLELIH OD MORBILA U SMEDEREVU - https://t.co/OmxyaeJY7Z - Male boginje su, zакljučnо sа 15. januarom, pоtvrđеnе коd оsаm оsоbа sа tеritоriје Smеdеrеvа. Rаdi sе о šеstoro nеvакcinisаne dece , mlađe od dvе gоdinе. Svi su hospitalizovani. 

Zaražna je i osoba koja ima... https://t.co/P0aYRyGRAm"
37,2023-01-16 07:07:39+00:00,fanijela,@eeevunkump Šta znači antivakseri?Meni su moroni ovi koji govore šireći paniku među idiotima o epidemiji morbila i tbc. Svako normalan zna da su deca u porodilištu vakcinisana tbc bez dozvole roditelja.Boginje se javljaju svakih par god i ako 90% vakcinisana deca i mi smo bili.I ko je idiot?
38,2023-01-15 19:11:18+00:00,eeevunkump,@anjam___ Meni je zaista jezivo to kada deci uskraćuju vakcine zbog svojih tripova ali pročitao sam da su zaraženi tuberkulozom svi vakcinisani. Vezano za male boginje nisam pronašao podatak jesu li vakcinisani ili ne.
