,Date,User,Tweet
0,2023-03-17 13:09:35+00:00,aleksandarsubi,"@MunemRuz @MilinaDoric Ове епидемије стерилитета, аутизма нису по телевизијама нити је ико надлежан. Уживај у 500000 брачних парова РЕГИСТРОВАНИХ стерлиних дал он/она или обоје...и на стотине хиљада деце са аутизмом...
Замисли свима заједничја ММР💉"
1,2023-03-11 13:50:49+00:00,Milos1005,"@VunicaPupka @MilinaDoric @Jovana1244 Где си ти видео епидемију, ја налазим само претње, да се слуди народ. Ако се много плашиш за себе и своју децу, натакарите сви заједно маску. Богиње се преносе респираторним путем.
https://t.co/5r1SZghjJP"
