,Date,User,Tweet
23,2023-03-14 16:00:47+00:00,MilosKrstic221,"92) Avenija MB prelivanje para iz budžeta opština u SNS kasu
93) prodaja izvora pijaće vode, rudih i ostalih prirodnih resursa
94) manipulacija stvarnim brojem obolelih i umrlih od covid-19, struka po potrebi (Kon)
95) kupovina TV Kopernikus⬇️⬇️⬇️"
24,2023-03-14 13:53:44+00:00,Resident2013,"Natanko pred 3 leti je na samem začetku #epidemija #COVID19 prisegla @vladaRS , ki je poslušno sodelovala v največji prevari in medicinskemu zločinu v zgodovini človeštva."
25,2023-03-14 11:25:08+00:00,Prijedor24h,"Zaraženo devet lica, nema preminulih - https://t.co/e9vblGXMBv Republici Srpskoj je u posljednja 24 časa virus korona potvrđen kod devet lica od 75 testiranih, a nije prijavljen nijedan smrtni slučaj, saopšteno je iz Instituta za javno zdravstvo.

Virus korona potvrđen je ko... https://t.co/f3MLkIbMJr"
26,2023-03-13 19:58:11+00:00,JJansaSDS,Natanko pred 3 leti je na samem začetku #epidemija #COVID19 prisegla politično raznolika @vladaRS in kljub praznim skladiščem zaščitne opreme in krizi v zdravstvenem sistemu rešila Slovenijo pred usodo #bergamo ter jo dvignila med zmagovalce krize v #EU. Hvala ekipi in sodelavcem… https://t.co/XVKM0jUwtW
27,2023-03-13 08:52:52+00:00,bl_portal,Korona u svijetu: Broj zaraženih usporen i bez oscilacija ✔️ https://t.co/PFczXCucmU
28,2023-03-12 19:03:18+00:00,theevilevi,"Stalni inventar na shodih @odbor2014, po lastnih besedah ponosni morilec nabornika #JLA, rad grozi,  v času epidemije #COVID19 je pljuval po protestnikih, ki so podprli stavkajoče na @RTV_Slovenija...

https://t.co/sYjj4rjGbs https://t.co/JEBM16I69S"
29,2023-03-12 09:12:31+00:00,MondoBH,"Gebrejesus se obratio javnosti povodom tri godine otkako je SZO prvi put upotrijebila reč ""pandemija"" da opiše globalnu epidemiju kovid 19
https://t.co/BvIagBB9Do"
30,2023-03-12 05:30:39+00:00,2021m2021,"@cikibucka @BojankaStern Če bi živeli v demokratičnem političnem okolju bi bilo pošteno do državljanov izpeljati preiskavo, koliko so politiki KULa in Golob ter javni medij RTV vplivali na potek epidemije Covid pri nas. https://t.co/6wq6FpszLd"
31,2023-03-11 22:49:19+00:00,Baldrick_57,"@LicenMitja @BineTraven @rtvslo Ni nujno. Covid idiot je za mene tisti, ki kritizira ukrepe, za zajezitev epidemije."
32,2023-03-11 18:23:27+00:00,robert_aleksic,"I među nastavnicima i vaspitačima i zdravstvenim radnicima previše je neznanja i neinformisanosti. Mediji takođe ignorišu epidemiju, osim dnevnih faktualno netačnih informacija kojima nas uspavljuju. U međuvremenu, ne samo kovid, već i sve respiratorne infekcije postaju... 3/5"
33,2023-03-10 17:53:00+00:00,robert_aleksic,"Institut ne postizava  da nas obavesti o epidemiji. Radi obuku o merama za sprečavanje. 20 osoba, bez maske. Neko će skoro sigurno biti inficiran posle par pokušaja. I to sada, kada im je par kolegenica nezgodno preležalo kovid. Preljepo

Dnevni izveštaj - https://t.co/06wHkOT4OA https://t.co/keTcVnFXfb"
34,2023-03-10 07:07:23+00:00,Robertdreco,"Na današnji dan 2020. - U Italiji je stupio na snagu dekret kojim su zbog širenja korona virusa ograničena sva kretanja osim u izuzetnim slučajevima. Prethodnog dana zabeležen je drastičan porast broja zaraženih u toj zemlji, a umrle su 463 osobe. https://t.co/Sje1sHZBpj"
35,2023-03-09 14:24:17+00:00,Tvzonaplus,"TRI GODINE KORONE – ŠTA SE PROMENILO? - https://t.co/6Uh4mXbu8H - Prošle su tri godine otkako je zabeležen prvi slučaj korone u Srbiji. U Nišu su se tokom tog perioda otvarale nove kovid ambulante, jer je ponekad bilo tolko zaraženih da su sečekali redovi za pregled do kasnih ... https://t.co/2CjvjG55I2"
36,2023-03-08 14:37:38+00:00,MneMagazin,DOM STARIH PODGORICA: Osam osoba zaraženo korona virusom https://t.co/eUSmoy7yPE
37,2023-03-08 08:54:48+00:00,Vito0241,"1047 novo zaraženih korona virusom, ne igrajte se ljudi, vakcinišite se.💉"
38,2023-03-07 18:02:33+00:00,ARandomusrname,"@EvijaUnama Tādi gadījumi ir daudz, un ne visi izmanto twitter, lai par to ziņotu. 'Covid-19 epidēmija' 2023. gada Latvijā joprojām sit augstu vilni… Kam tas izdevīgi ?..."
39,2023-03-07 16:26:00+00:00,_Tamarica_,"@NenadicRakac Jer posle toga kad je krenula korona, hiljadu puta se zadesilo da smo bili sa zaraženima( u tom momentu nisu znali), nijednom se nismo razboleli a da znamo da je to korona."
40,2023-03-07 12:48:34+00:00,rina_rs_srb,"U Zlatiborskom okrugu koronom inficirano 52 lica: Još uvek nije ugašeno žarište virusa na zapadu zemlje 

https://t.co/ZMHcAqI2Lf 

#RINA #rina #mediji #uzivo #zapadnasrbija #vesti #Srbija #Zlatibor #COVID #virus #epidemija #covid19 https://t.co/FLY5l2kH6L"
41,2023-03-07 11:21:20+00:00,JaunsLV,Tādai medicīnas jomai kā analīžu veikšana Covid-19 epidēmija devusi milzu grūdienu attīstībai. https://t.co/Eqyw2R6sdS
42,2023-03-07 10:31:04+00:00,alikiaj,"#COVID19 не се дава! 
Kraken se širi Srbijom: Već je među dominantnim podvarijantama omikrona kod zaraženih kovidom via @EuronewsSerbia https://t.co/DO81kWGhB2"
43,2023-03-07 07:37:27+00:00,kocevar_igor,"@Johanca_4me Hvala Bogu da smo meli Janšo &amp; comp. na oblasti ko je bil COVID.Zamislite da bi meli na oblasti tiste ki jih je kar naprej nekaj motilo in bi seveda med COVIDOM ukinili vse kar naštevajo te twiteraši. Petkrat več obolelih in mrtvih.A ne?!Ne,meli bi manj obolelih in mrtvih.🐑😂🤮"
44,2023-03-07 07:01:58+00:00,______PennyLane,"@RadojevGoran SAD u aprilu ukida obavezan dokaz o vakcinaciji, uveden zbog epidemije i stotina hiljada umrlih posle ukidanja 'zero Covid' politike u Kini. 

Nikakve veze sa Novaxom i ljudskim pravima, zakon je isti za sve. Ne vrti se ceo svet oko Srbije."
45,2023-03-07 06:01:15+00:00,AndrzejMandaj,@Karlovsky14 @JakubRatajcza19 @75Maro75 @sport_tvppl Tak jak nie wszyscy zarażeni na Covid i nie zaszczepieni mieli umrzeć.
46,2023-03-07 03:03:29+00:00,liquidator999,"🗓️
2020 
U Srbiji je zabeležen prvi slučaj zaraze korona virusom. Na taj dan u svetu je više od 100.000 ljudi zaraženo tim viruso,, a umrlo više od 3.400."
47,2023-03-06 16:24:00+00:00,bbcnasrpskom,"Od desetina hiljada zaraženih dnevno, redova ispred ambulanti i strogih mera, do zatvaranja kovid bolnica i povratka životu bez restrikcija – kako je proteklo tri godine pandemije u Srbiji? 😷🇷🇸

https://t.co/mR1a3Bi28f"
48,2023-03-06 15:57:38+00:00,Ljubica48,"Glavni direktor tvrtke #Moderna, Stéphane Bancel, priznaje da je njihova tvrtka proizvela 100.000 doza cjepiva protiv COVID-19 2019. godine, prije nego što je epidemija uopće počela!

To je skandal epskih razmjera."
49,2023-03-05 20:22:33+00:00,Fantom18855420,"Sad nešto vraćam film ,ona bakljada za vreme epidemije Covid19 ,je izgleda bila-proslava rođendana... https://t.co/VX5f5td3jJ"
50,2023-03-05 19:47:44+00:00,Dawid53562689,"@jaros_kozio83 @JacobQNicholson @A_Traczyk tym że zarażeni covidem umierali dusząc się, lub umierajac przez zniszczenie organizmu jakie covid wywowlywal. No a w tym artykule jest podane że maksymalnie 30% tych nadmiarowych zgodnów bylo wywolane zapaścią w sużbie zdrowia i brakiem dostepu np do onkologów. Ty się sam"
51,2023-03-05 13:47:18+00:00,TihTri,I pre epidemije #COVID19 odnosno Wuhan. Naravno ⤵️
52,2023-03-04 12:55:00+00:00,OnlineDanas,"Korona još nije odjavljena, a nova epidemija u najavi: Čak 27 virusa prete, među njima zika i denga
https://t.co/lyslROwdyV"
53,2023-03-03 15:04:08+00:00,square_root1,"@DiscoStuSrb @dokolenko Tvoje telo, sve dok ne ugrožavaš zdravlje drugih ljudi. Ne postojiš samo ti na planet Zemlji. Bila je epidemija (kako je nastala, verovatno nećemo nikad ni saznati) i nije se znalo kako se prenosi. Korona i dalje postoji, ali ne moraš da nosiš masku, jer ima informacija o virusu"
54,2023-03-02 13:55:55+00:00,Prijedor24h,"Koronom zaraženo 9 osoba u Srpskoj: Na liječenju 43 kovid pacijenta - https://t.co/N080UbsglW korona potvrđen je kod devet osoba u posljednja 24 časa, od ukupno 84 testirana lаbоrаtоriјska uzоrkа.

Rаdi sе о tri muškаrаcа i šеst žеnа, оd kојih је јеdnа оsоbа mlаđе, tri srеdn... https://t.co/N9VFwzgrOG"
55,2023-03-02 11:05:22+00:00,LaleMitic83,"@CenzurisanoL @YouTube Pogledaću emisiju, ali da se pokrene tema zašto je britanska vlada nameravala da pobije sve mačke-kućne ljubimce na početku kovid epidemije

https://t.co/qAnaJIRzae"
56,2023-03-02 05:02:07+00:00,Imperio42986961,"Bergamo kovid februar 2020.
Končno zaslišan guverner Fortuna in bivši PV Conte zaradi ne ukrepanja v epidemiji. Umrlo je več kot 6000 okuženih. Obtoženih je 16 predstavnikov oblasti. Nekateri bodo končali v zaporu, sledijo denarne kazni in visoke odškodnine svojcem umrlim."
57,2023-03-02 01:04:30+00:00,MarijaMerii,"@BrankoGrims1 Spoštovani poslanec,  migranti so bili predhodnica Covid epidemije, njih se ni cepilo, ker so namenjeni zamenjavi EU prebivalcev in jih moramo čuvat, tako kot #Zelensky -ga ker skrbi za demokracijo."
58,2023-03-01 12:33:23+00:00,potapaj,"@romanovaMK @omar_polo Ja sam imao jednom, jedva preziveo. Nakon toga primio 2 vakcine, bio u kontaktu sa zarazenima, vozio clanove porodice u covid ambulante, nikad nista. Vakcina me je spasila"
59,2023-03-01 10:45:36+00:00,radiogalaksija,"...  pokreta i stavova koji su procvetali u javnosti tokom pandemije SARS-Cov-2 korona virusa u poslednjih par godina. Još pre godinu dana bilo je jasno da je samo pitanje vremena kada će se u Srbiji pojaviti epidemija malih boginja, bolesti koja dovodi do jako teških..."
60,2023-02-28 16:47:26+00:00,robert_aleksic,"@Jevremovic Svi se fokusiraju na smrti. Kovid je nova multisistemska bolest i po procenama iz recimo uk (nemamo podatke jer to nikoga naročito ne interesuje), preko 25.000 osoba trenutno živi sa urušenim zdravljem od kovida. Dece, mladih, starih, bivših zdravih i inače hronično obolelih..."
61,2023-02-28 15:10:58+00:00,TRTBalkanBHSC,"#Pandemija koronavirusa vjerovatno je rezultat curenja iz kineske laboratorije, navodi američko Ministarstvo energije.

Neki #naučnici također vjeruju da je porijeklo koronavirusa slijedilo prirodni put kao i #epidemije dosad nepoznatih patogena.

#Kina #COVID19 #laboratorija"
